X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
1680 1397 37690.8125 1493857.1875 12 194.14121793169014 13.85941125093269 -0.00558871532567476
505 1281 70490.63687150844 946100.3631284916 12 265.5007285705793 13.179671414084913 -0.00408661778761021
495 1303 65181.525139664765 945570.4748603352 12 255.3067275644431 13.264688704952142 -0.0042497900872045385
757 1012 75727.7578125 1502853.2421875 12 275.1867689633715 13.101862254514279 -0.0039427767697087866
4423 1490 33063.37890625 1495637.62109375 12 181.83338226588097 14.00163191461906 -0.005967001144011542
2865 900 49772.3125 1544767.6875 12 223.09709209220992 13.557530451954579 -0.0048633533939185115
462 2390 40041.671875 1489084.328125 12 200.1041525681064 13.793719493882868 -0.005422176332051456
2485 1516 30974.34765625 1500840.65234375 12 175.99530577901785 14.07249457858429 -0.0061649371566895135
251 2230 47643.53515625 1489724.46484375 12 218.273991021033 13.604990053222366 -0.004970816701177414
1499 1580 55580.19921875 1497477.80078125 12 235.75453170352844 13.437699752233756 -0.004602244513222908
461 1799 68503.40625 1503375.59375 12 261.7315537912844 13.210719582991572 -0.00414546883737688
3132 245 34492.25 1493993.75 12 185.72089273961612 13.955696186978564 -0.005842099852067739
1104 717 84257.76953125 1504671.23046875 12 290.2718889786781 12.985975104213633 -0.003737874872477571
4284 2125 39944.87109375 1495518.12890625 12 199.86213021418038 13.79634744004135 -0.005428742297689261
2907 975 30918.55078125 1502199.44921875 12 175.83671624905307 14.074452176474866 -0.006170497397501548
2670 828 49962.18359375 1509474.81640625 12 223.52222170010302 13.553396472682664 -0.004854103505895406
1250 404 33168.5546875 1493628.4453125 12 182.12236185460588 13.998183630887677 -0.00595753310549635
3349 688 80593.55078125 1504821.44921875 12 283.89003290226657 13.034249274276892 -0.003821902406744683
3260 1882 65894.22488038288 1492058.775119617 12 256.6987044774143 13.252881615733745 -0.004226745133789579
854 1733 104151.6640625 1523706.3359375 12 322.72536941260137 12.755834467017715 -0.003361991658650293
1010 1177 49279.58203125 1500055.41796875 12 221.9900493969268 13.568332460829225 -0.004887606462305786
2585 1110 83510.671875 1509186.328125 12 288.9821307191848 12.995645055594178 -0.0037545574091373034
3548 2198 49220.16853932582 944862.8314606742 12 221.8561888686584 13.569642258807043 -0.004890555478902297
3224 908 48915.26171875 1504114.73828125 12 221.16794912181558 13.576389046151137 -0.004905774115590322
927 1034 68276.23828125 1500041.76171875 12 261.2972221077943 13.214326036508206 -0.004152359490268132
1290 1872 44053.84375 1492587.15625 12 209.8900753966228 13.69004048222815 -0.005169372577286987
1682 2467 69748.14864864864 1034026.8513513514 12 264.098747911929 13.191168288858018 -0.0041083117908677965
3298 2272 46858.85310734459 988960.1468926554 12 216.46905808300778 13.623020862931028 -0.005012263690748556
4010 1476 14374.79999999993 855016.2000000001 12 119.89495402226038 14.905995472595944 -0.009049588523955335
2402 871 30543.86328125 1496491.13671875 12 174.7680270565815 14.087690082277442 -0.0062082293785277395
2777 613 110137.84765625 1513732.15234375 12 331.8702271314045 12.695158537181495 -0.003269350219748374
4444 1573 25691.97265625 1494668.02734375 12 160.2871568662006 14.275506372184122 -0.006769101288044567
4337 1280 27378.91796875 1495798.08203125 12 165.46576071426378 14.20645929860284 -0.0065572478276858925
1773 1423 16936.593220338982 357512.406779661 12 130.14066705046113 14.72793485785898 -0.0083371326165041
2641 2281 65908.33984375 1505746.66015625 12 256.7261962553685 13.252649069017417 -0.004226292508617772
3296 2248 45253.25423728814 988915.7457627119 12 212.72812281710227 13.660875461230948 -0.00510040696844231
3855 338 59646.80859375 1498495.19140625 12 244.2269612343199 13.361031970814043 -0.004442588952982193
928 576 32579.71484375 1496187.28515625 12 180.49851756662713 14.017631803009829 -0.006011129701381042
2519 442 59601.9921875 1503379.0078125 12 244.13519243955795 13.361848059475816 -0.004444258892615902
